REFERENCE;ETABLISSEMENT;RESEAU;ACTIVIT;CONTACT;EMAILCONTACT;SITEWEB;TELEPHONE;FAX;HANDICAPS;CODEPOSTAL;ADRESSE;REGION;DEPARTEMENT;VILLE
2013-07612;Gîtes de la Landerie 10 personnes;Tourisme et Handicap;Meublé de tourisme;Mme Cauchard;lalanderie@wanadoo.fr;http://pagesperso-orange.fr/savigny-ferme;233454837;;"auditif ; mental";50210;;Normandie;MANCHE;SAVIGNY
2013-07613;Gîte rural Amoric;Tourisme et Handicap;Meublé de tourisme;ARMORIC ESTELLE;estelle.amoric@wanadoo.fr;;"0233479211 ; 0618224537";;"auditif ; visuel ; moteur ; mental";50250;La Rue;Normandie;MANCHE;SURVILLE
2013-07614;Chambre d'hôtes la Ferme des Gosselins;Tourisme et Handicap;Chambre d'hôtes;Me Hervieu;sylvain.hervieu@orange.fr;http://www.sejour-nature-cotentin.com;619936398;233547675;"auditif ; visuel ; moteur";50630;Hameau Les Gosselins;Normandie;MANCHE;TEURTHEVILLE BOCAGE
2013-07615;Meublé de tourisme;Tourisme et Handicap;Meublé de tourisme;M. Montreuil;;http://www.manchetourisme.com;233541153;;"auditif ; mental ; moteur ; visuel";50630;Le Long Bois;Normandie;MANCHE;TEURTHEVILLE BOCAGE
2013-07616;Planetarium Ludiver;Tourisme et Handicap;Lieu de visite;M. Canoville;ludiver@lahague.com;http://www.ludiver.com;233781380;233787389;"auditif ; mental ; moteur";50460;;Normandie;MANCHE;TONNEVILLE
2013-07617;Fonderie Cornille Havard;Tourisme et Handicap;Lieu de visite;M.Bergamo;info@cornille-havard.com;http://www.cornille-havard.com;233610056;;"auditif ; mental ; moteur ; visuel";50800;10 rue du Pont Chignon;Normandie;MANCHE;VILLEDIEU LES POELES
2013-07619;Office de Tourisme de Villedieu les Poêles;Tourisme et Handicap;Office de tourisme;Mme Telles;contact@ot-villedieu.fr;http://www.ot-villedieu.fr;233610569;;"auditif ; mental ; moteur ; visuel";50800;8 place des Costils;Normandie;MANCHE;VILLEDIEU LES POELES
2013-07620;Chocolaterie La Marquise de Presle;Tourisme et Handicap;Lieu de visite;M. Yver;marquisedepresles@wanadoo.fr;http://www.yverchocolatier.com;233918511;;"auditif ; mental ; moteur";50400;189 Route de Villedieu;Normandie;MANCHE;GRANVILLE
2013-07621;Chambres d'Hôtes La Grange Champenoise;Tourisme et Handicap;Chambre d'hôtes;M. Florent Guillaume;contact@lagrangechampenoise.com;;326975421;;"auditif ; visuel ; moteur ; mental";51110;46 rue du 151 RI;Alsace Champagne-Ardenne Lorraine;MARNE;AUMENANCOURT
2013-07622;Chambre d'Hôtes Le Chalet Champenois;Tourisme et Handicap;Chambre d'hôtes;M. Edwin Thiemann;contact@lechaletchampenois.com;http://www.lechaletchampenois.com;628983493;;"auditif ; visuel ; moteur ; mental";51260;Rue des Noblots;Alsace Champagne-Ardenne Lorraine;MARNE;BETHON
2013-07623;Hôtel B&B Reims Bezannes;Tourisme et Handicap;Hôtel;M. Bernard Cassagne;bb_4526@hotelbb.com;;326350901;326350900;"auditif ; mental ; moteur ; visuel";51430;2 rue Henri Moisan;Alsace Champagne-Ardenne Lorraine;MARNE;BEZANNES
2013-07624;Chambre d'Hôtes Aux Portes des Tumuli - Chambre l'Eurylaine;Tourisme et Handicap;Chambre d'hôtes;Mme et M. Appert Laloua;gaec.appert-laloua@orange.fr;http://auxportesdestumuli.free.fr;326709902;326709902;"auditif ; mental ; moteur ; visuel";51600;7 rue du Moulin;Alsace Champagne-Ardenne Lorraine;MARNE;BUSSY LE CHÂTEAU
2013-07626;Meublé de tourisme Le Solider;Tourisme et Handicap;Meublé de tourisme;M. Lethies;pierre.lethies@free.fr;http://lesolider.free.fr/;607064304;;"auditif ; mental";51290;6 rue de l'Etanchée;Alsace Champagne-Ardenne Lorraine;MARNE;CHÂTILLON SUR BROUÉ
2013-07627;Hôtel Jean Moêt;Tourisme et Handicap;Hôtel;M. Jean-Phillipe Robert;contact@hoteljeanmoet.com;http://www.hoteljeanmoet.com;326321922;326325084;"auditif ; mental ; moteur ; visuel";51200;7 rue Jean Moêt;Alsace Champagne-Ardenne Lorraine;MARNE;EPERNAY
2013-07628;Meublé de Tourisme Le Jardin de Valentine;Tourisme et Handicap;Meublé de tourisme;M. Pascal Petit;petitgeoffreytriolet@orange.fr;;326593330;326593633;"auditif ; moteur ; visuel";51270;53 Grande Rue;Alsace Champagne-Ardenne Lorraine;MARNE;FÉRÉBRIANGES
2013-07629;Le Jardin des Sens;Tourisme et Handicap;Sport de nature;M. Bruno Roulot;mairie.haussimont@orange.fr;http://www.haussimont.com;326674669;326674669;"auditif ; mental ; moteur ; visuel";51320;;Alsace Champagne-Ardenne Lorraine;MARNE;HAUSSIMONT
2013-07630;Chambre d'hôtes Le Parc du Château;Tourisme et Handicap;Chambre d'hôtes;M. Bonnafous;contact@le-parc-du-chateau.com;http://www.le-parc-du-chateau.com/accueil;689940107;;"auditif ; visuel";51220;7 ter rue Visin;Alsace Champagne-Ardenne Lorraine;MARNE;HERMONVILLE
2013-07631;Champagne Bertrand Lapie;Tourisme et Handicap;Lieu de visite;M. Bertrand;bertrand.lapie@wanadoo.fr;http://www.champagne-bertrandlapie.com;326729803;326722119;"auditif ; visuel ; moteur ; mental";51240;69 Grand Rue de Coulmier;Alsace Champagne-Ardenne Lorraine;MARNE;CHAUSSÉE SUR MARNE (LA)
2013-07632;Hôtel restaurant Auberge Champenoise;Tourisme et Handicap;Hôtel;M. Benjamin Arthozoul;auberge-champ@wanadoo.fr;http://www.auberge-champenoise.com;326540348;326518725;"auditif ; visuel";51530;68 rue des Prieurés;Alsace Champagne-Ardenne Lorraine;MARNE;MOUSSY
2013-07633;Meublé de tourisme Les Clés d'Emeraudes;Tourisme et Handicap;Meublé de tourisme;M.Parfait;contact@aumilieudenullepart.fr;http://www.au-milieu-de-nulle-part.com;326721566;;"auditif ; mental ; moteur ; visuel";51290;La Pierre;Alsace Champagne-Ardenne Lorraine;MARNE;OUTINES
2013-07634;Médiathèque de Reims;Tourisme et Handicap;Lieu de visite;Mme Quéreux-Sbai;jfalala@bm-reims.fr;http://www.bm-reims.fr;326356800;326353834;"auditif ; moteur ; mental";51100;2 rue des Fuseliers;Alsace Champagne-Ardenne Lorraine;MARNE;REIMS
2013-07635;Office de Tourisme de Reims;Tourisme et Handicap;Office de tourisme;Mme Christiane Corgie-Vergnaud;y.ziata@reims-tourisme.com;http://www.reims-tourisme.com;892701351;;"auditif ; mental";51100;2 rue Guillaume Machault;Alsace Champagne-Ardenne Lorraine;MARNE;REIMS
2013-07636;Suite Novotel Reims Centre;Tourisme et Handicap;Hôtel;Mme Chaillot;h7237@accor.com;http://www.suitehotel.com/fr/hotel-7237-suite-novotel-reims-centre/index.shtml;326895200;326895202;"moteur ; mental";51100;1 rue Edouard Mignot;Alsace Champagne-Ardenne Lorraine;MARNE;REIMS
2013-07637;Chambres d'Hôtes;Tourisme et Handicap;Chambre d'hôtes;M. Vincent Gobert;gobert.vincent@hotmail.fr;http://champagnegobertvincent.e-monsite.com;326571685;;"auditif ; visuel ; mental";51480;1 rue de la Billette;Alsace Champagne-Ardenne Lorraine;MARNE;ROMERY
2013-07638;Sentier de randonnée de la forêt domaniale;Tourisme et Handicap;Sport de nature;M. Brimont;aurelie.celdran-alcaraz@onf.fr;http://www.onf.fr/bourgogne_champagne-ardenne/@@index.html;326218830;326218839;"auditif ; mental ; moteur ; visuel";51470;ONF 10 rue Pasteur;Alsace Champagne-Ardenne Lorraine;MARNE;SAINT MEMMIE
2013-07639;Itinéraire de randonnée Parcours pour Tous;Tourisme et Handicap;Sport de nature;M. Bertrand Courot;patrimoine@ste-menehould.fr;http://www.ste-menehould.fr;326602830;326606254;"auditif ; visuel ; mental";51800;La Grange aux Bois;Alsace Champagne-Ardenne Lorraine;MARNE;SAINTE MÉNEHOULD
2013-07640;Chambre d'Hôtes La Janenquelle - Chambre Laine;Tourisme et Handicap;Chambre d'hôtes;Mme Maillet;lajanenquelle@free.fr;http://www.lajanenquelle.com;326214488;326683912;"auditif ; visuel ; mental";51520;Le Château rue Basse;Alsace Champagne-Ardenne Lorraine;MARNE;SARRY
2013-07641;Centre d'Interprétation Marne 14-18;Tourisme et Handicap;Lieu de visite;M. Mauclert;contact@marne1418.fr;http://www.marne14-18.fr;326682409;326663059;"auditif ; visuel ; moteur ; mental";51601;4 ruelle Bayard BP 31;Alsace Champagne-Ardenne Lorraine;MARNE;SUIPPES
2013-07642;Gîte La Berquillotte;Tourisme et Handicap;Meublé de tourisme;Mme Gérard;contact@pre-en-bulles.com;http://www.pre-en-bulles.com;326535000;326531805;"auditif ; visuel ; moteur ; mental";51380;2 rue du Stade;Alsace Champagne-Ardenne Lorraine;MARNE;TRÉPAIL
2013-07643;Pré en Bulles - Muséographie;Tourisme et Handicap;Lieu de visite;Mme Sylvie Gérard-Maizières;;http://www.pre-en-bulles.com;326535000;326531805;"visuel ; moteur";51380;2 rue du Stade;Alsace Champagne-Ardenne Lorraine;MARNE;TRÉPAIL
2013-07644;Chambres d'Hôtes;Tourisme et Handicap;Chambre d'hôtes;Mme Trichet;trichet-didier@orange.fr;http://www.champagne-trichet-didier.com;326826410;;"auditif ; mental";51500;;Alsace Champagne-Ardenne Lorraine;MARNE;TROIS PUITS
2013-07645;Gite de la Grande Fontaine;Tourisme et Handicap;Meublé de tourisme;Mme Marie Claire Mangeot;gitedelagrandefontaine@orange.fr;http://www.gitedelagrandefontaine.fr;645649356;326527483;"auditif ; mental ; moteur ; visuel";51130;Place de la Grande Fontaine;Alsace Champagne-Ardenne Lorraine;MARNE;VERTUS
2013-07646;Hôtel Au Tambourin;Tourisme et Handicap;Hôtel;Mme Platteaux;contact@hotel-tambourin.com;http://www.hotel-tambourin.com;326729292;326729291;"visuel ; mental";51300;5 et 7 rue Aubert Roche;Alsace Champagne-Ardenne Lorraine;MARNE;VITRY LE FRANCOIS
2013-07647;Gite rural l'Etable aux Deux Noix;Tourisme et Handicap;Meublé de tourisme;M. et Mme Suc;olivier.suc@sfr.fr;;325035194;;"auditif ; mental ; moteur ; visuel";52210;Maison Paulin;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;ARC EN BARROIS
2013-07648;Pôle  Sport et Loisirs;Tourisme et Handicap;Sport de nature;M. Patrick Andelot;secretariat@pslb52.com;http://pslb52.com;325015459;;"auditif ; visuel ; moteur ; mental";52340;Les Patis;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;BIESLES
2013-07649;Restaurant Le Palmier;Tourisme et Handicap;Restaurant;M. Abdallah Bouras;;;325326722;325037013;"auditif ; mental ; moteur ; visuel";52000;16 rue Marlotte;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;CHAUMONT
2013-07650;Mémorial Charles de Gaulle;Tourisme et Handicap;Lieu de visite;M. Geagea;contact@memorial-charlesdegaulle.fr;http://www.memorial-charlesdegaulle.fr;325309080;325309099;"mental ; moteur ; visuel";52330;;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;COLOMBEY LES DEUX EGLISES
2013-07651;Plage des Sources du Lac Syndicat du Der;Tourisme et Handicap;;;;;;;"auditif ; mental ; visuel";52182;;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;ECLARON
2013-07652;Hôtel La Source Bleue;Tourisme et Handicap;Hôtel;M. François Thuillier;source-bleue@wanadoo.fr;http://www.hotelsourcebleue.com;325947035;325050209;"mental ; visuel";52320;;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;GUDMONT VILLIERS
2013-07653;Gite de groupe Ferme Sainte Anne;Tourisme et Handicap;Meublé de tourisme;M. Hubert Champouillon;association-sainteanne@orange.fr;http://www.gite-sainteanne.fr;660931581;;"visuel ; moteur ; mental";52200;;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;LANGRES
2013-07654;Résidence Les Chalets du Lac de la Vingeanne;Tourisme et Handicap;Résidence de tourisme;M. et Mme Rabian;contact@chaletsvingeanne.fr;http://www.chaletsvingeanne.com;0479650765 ou 0670894596;325906679;"auditif ; mental ; moteur ; visuel";52250;15, rue de Villegusien;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;LONGEAU
2013-07655;Hôtel Restaurant Arcombelle;Tourisme et Handicap;Hotel-restaurant;M. Folleau;arcombelle@orange.fr;http://www.hotel-arcombelle.com/;325903018;325907180;"auditif ; mental ; moteur ; visuel";52140;25 avenue de Lierneux;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;MONTIGNY LE ROI
2013-07656;Musée de la Coutellerie;Tourisme et Handicap;Lieu de visite;Madame le Maire de Nogent;accueil-musee@villedenogent52.com;http://www.villedenogent52.com;325318921;325322653;"mental ; moteur";52800;Place Charles de Gaulle;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;NOGENT
2013-07657;Jum Hôtel;Tourisme et Handicap;Hôtel;M. Frédéric Collinot;auberge3jumeaux@wanadoo.fr;http://www.auberge3jumeaux.fr;325870336;325875868;"mental ; moteur ; visuel";52200;2 rue du Lieutenant Didier;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;SAINT GEOSMES
2013-07658;Chambre d'hôtes La Ferme de François;Tourisme et Handicap;Chambre d'hôtes;M. Maltrud;lafermedefrancois@orange.fr;http://www.lafermedefrancois.com;325046928;325051090;"auditif ; mental ; visuel";52230;Le Val Louzet CD 175;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;SAUDRON
2013-07659;Camping du Lac;Tourisme et Handicap;Camping;Mairie de Villegusien;campingdevillegusien@outlook.fr;http://camping-du-lac-villegusien.fr;"0325884725 (mairie) ; 0325884524(camping)";;"auditif ; mental ; moteur ; visuel";52190;;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;VILLEGUSIEN LE LAC
2013-07660;Chambres d'Hôtes Les Lilas;Tourisme et Handicap;Chambre d'hôtes;Mme Geneviève Rondelet;leslilas52@wanadoo.fr;;325873833;;"auditif ; moteur ; mental";52190;21 rue de l'Eglise;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;VILLEGUSIEN LE LAC
2013-07661;Hôtel Relais du Lac;Tourisme et Handicap;Hôtel;M. François Thévenot;relaisdulac.villegusien@gmail.com;http://www.relaisdulac.eu;325884612;325875432;moteur;52190;8 place Jean Robinet;Alsace Champagne-Ardenne Lorraine;HAUTE-MARNE;VILLEGUSIEN LE LAC
2013-07662;Gîte rural Les Préaux;Tourisme et Handicap;Meublé de tourisme;M. Guesdon;jean-yves.guesdon@wanadoo.fr;;243086934;;"auditif ; visuel ; moteur ; mental";53120;2 rue du Fay;Pays de la Loire;MAYENNE;CARELLES
2013-07664;Chambre d'hôtes Le Gasseau;Tourisme et Handicap;Chambre d'hôtes;M. et Mme Quesne;lilianequesne@wanadoo.fr;http://www.le-gasseau.fr;243042240;;"auditif ; mental ; moteur ; visuel";53160;Le Gasseau;Pays de la Loire;MAYENNE;JUBLAINS
2013-07665;Musée Archéologique Départemental;Tourisme et Handicap;Lieu de visite;Mme Agathe Legros;musee.jublains@cg53.fr;http://www.museedejublains.fr;243581320;243041952;"auditif ; visuel ; moteur ; mental";53160;13 rue de la Libération;Pays de la Loire;MAYENNE;JUBLAINS
2013-07666;Musée du Château de Mayenne;Tourisme et Handicap;Lieu de visite;M.Grandet;contact@museeduchateaudemayenne.fr;http://www.museeduchateaudemayenne.fr;243302121;243302110;"auditif ; mental ; moteur ; visuel";53100;10 rue de Verdun;Pays de la Loire;MAYENNE;MAYENNE
2013-07667;GîteLes Cyprès;Tourisme et Handicap;Meublé de tourisme;Mme. Olga Louvel;olga.louvel@free.fr;http://www.gite-etape-sejour.com;243268872;;"auditif ; mental ; moteur";53470;La Picherie;Pays de la Loire;MAYENNE;MARTIGNE SUR MAYENNE
2013-07668;Le Relais du Gué de la Selle;Tourisme et Handicap;Hotel-restaurant;M. Peschard;relaisduguedeselle@wanadoo.fr;http://www.relais-du-gue-de-selle.com;243912000;243912010;"auditif ; mental ; moteur ; visuel";53600;Route de Mayenne;Pays de la Loire;MAYENNE;MEZANGERS
2013-07669;Chambres et Tables d'Hôtes Le Moulin de Thuboeuf;Tourisme et Handicap;Chambre d'hôtes;M. Jean François Couanon;contact@lemoulindethuboeuf.com;http://www.lemoulindethuboeuf.com;243536310;;"auditif ; moteur ; mental";53970;Le Moulin de Thuboeuf;Pays de la Loire;MAYENNE;NUILLE SUR VICOIN
2013-07670;Hebergement de groupe D à 7 Faces;Tourisme et Handicap;Structure diverse;Mme Deparis;leda7faces@gmail.com;http://www.leda7faces.fr;243681331;;"auditif ; visuel ; moteur ; mental";53260;Courcelles;Pays de la Loire;MAYENNE;PARNE SUR ROC
2013-07671;Gite de groupe Château du Bourg;Tourisme et Handicap;Meublé de tourisme;M. Gilbert Perret;gitechateaudubourg@wanadoo.fr;http://www.gite-château-du-bourg.com;243081968;;"auditif ; visuel ; moteur ; mental";53500;8 rue du Maine;Pays de la Loire;MAYENNE;SAINT-DENIS-DE-GASTINES
2013-07672;Gîte rural Le Pré des Îles;Tourisme et Handicap;Meublé de tourisme;M. et Mme Leroyer;paulette.leroyer@orange.fr;;243685218;;"auditif ; moteur ; mental";53220;La Futaie;Pays de la Loire;MAYENNE;SAINT ELLIER DU MAINE
2013-07673;Centre d'Interprétation de l'Architecture et du Patrimoine CIAP Sainte Suzanne;Tourisme et Handicap;Lieu de visite;M.Trejean;ciap@lamayenne.fr;http://www.ciap.lamayenne.fr;243581300;;"auditif ; mental ; moteur ; visuel";53270;1 rue Fouquet de la Varenne;Pays de la Loire;MAYENNE;SAINT SUZANNE
2013-07674;Gite rural;Tourisme et Handicap;Meublé de tourisme;M. et Mme Turmeau;la_semondiere@yahoo.fr;http://www.gite-semondiere.fr;243370268;;"auditif ; visuel ; moteur ; mental";53160;La Sémondière;Pays de la Loire;MAYENNE;SAINT THOMAS DE COURCERIERS
2013-07675;Chambres et Tables d'Hôtes Le Presbytère de Vieuvy;Tourisme et Handicap;Chambre d'hôtes;Mme Joséphine Métivier;presbyteredevieuvy@orange.fr;http://www.presbytere-de-vieuvy.com;243046308;;"auditif ; visuel ; moteur ; mental";53120;4 Impasse du Presbytère;Pays de la Loire;MAYENNE;VIEUVY
2013-07676;Office de Tourisme;Tourisme et Handicap;Office de tourisme;M. Guy Soutif;officedetourisme@cc-villaines-juhel.fr;http://www.cc-villaines-juhel.fr;243037888;243037792;"auditif ; mental ; moteur ; visuel";53700;26 rue Jules Doitteau;Pays de la Loire;MAYENNE;VILLAINES LA JUHEL
2013-07677;Domaine du Clam;Tourisme et Handicap;Hébergement collectif;M. Yannick Tramontin;leclam@free.fr;http://www.leclam.fr;383569776;383569776;mental;54510;36 avenue de la Chartreuse;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;ART SUR MEURTHE
2013-07678;Ecole Française de parachutisme Nancy Lorraine;Tourisme et Handicap;Sport de nature;M. Olivier Metrot;paranacy@orange.fr;http://www.paranancy.com;383465069;;"auditif ; mental ; visuel";54210;Aérodrome Nancy Azelot;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;AZELOT
2013-07679;Pôle Bijou de Baccarat;Tourisme et Handicap;Structure diverse;M. Michel Bocquel;info@polebijou.com;http://www.polebijou.com;383760699;;"mental ; moteur";54120;A l'attention de Mme Manoha 13 rue du Port;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BACCARAT
2013-07680;Centre de Vacances du Caps;Tourisme et Handicap;Hébergement collectif;M. Philippe Goman;philippe.goman@caps-54-51.com;http://www.gite54.com;383761990;383761993;"auditif ; mental ; visuel";54540;Avenue Division Leclerc;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BADONVILLERS
2013-07681;Auberge de Heidi - Centre de villégiature Les Années 50;Tourisme et Handicap;Restaurant;Mme Heidi Miclo;bernard@vivrelesannees50.fr;http://www.vivrelesannees50.fr;383751842;;"auditif ; mental ; moteur ; visuel";54120;23 rue Jean Coltat;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BERTRICHAMPS
2013-07682;Base de Loisirs de Bures;Tourisme et Handicap;Camping;Mme Nicole Degeorge;contact@blb54.fr, samuelmeslin@yahoo.fr;http://www.blb54.fr;383713304;383713304;"auditif ; mental ; moteur";54370;Centre nautique;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BURES
2013-07683;Base de Loisirs de Bures Hébergement pour la pratique nautique;Tourisme et Handicap;Meublé de tourisme;Mme Nicole Degeorge;;http://www.blb54.fr;383713304;383713304;"auditif ; mental ; moteur";54370;Centre nautique;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;BURES
2013-07684;Ferme d'élevage de l'Altiplano;Tourisme et Handicap;Lieu de visite;Mme Villaume;ferme.de.altiplano@orange.fr;htpp://www.ferme-altiplano.com;383523144;383523144;"mental ; moteur ; visuel";54930;6 rue du Haut de Maix;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;COURCELLES
2013-07685;Ferme équestre du Mesnil Saint Michel;Tourisme et Handicap;Sport de nature;M. Godec;contact@le-menil-st-michel.fr;www.le-menil-st-michel.fr;382267338;;"auditif ; mental ; moteur ; visuel";54630;Benney;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;FLAVIGNY SUR MOSELLE
2013-07686;Gîte rural Chez Coco;Tourisme et Handicap;Meublé de tourisme;Mme Dousen;dousen.ali@neuf.fr;http://www.gites54.com;387031486;;"auditif ; mental ; moteur";54450;1 Grande Rue;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;HARBOUEY
2013-07687;Le Jardin Extraordinaire;Tourisme et Handicap;Sport de nature;M. Guy Vattier;mnicollet@ccpb54.fr;http://www.ccpb54.fr;382463322;382461947;"mental ; moteur ; visuel";54150;Rue du Carreau de la Mine;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;MANCIEULLES
2013-07688;Restaurant - Le Wagon du Pré Fleury;Tourisme et Handicap;Restaurant;Mme.Kern;kern.christian@wanadoo.fr;;383723258;383723277;"auditif ; mental ; moteur ; visuel";54129;Ancienne gare;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;MAGNIÈRES
2013-07689;Hôtel Ibis;Tourisme et Handicap;Hôtel;M. Laurent Kuntz;h2051@accor.com;http://www.ibishotel.com;382231419;382256106;"mental ; moteur";54135;Rue du Château d'Eau;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;MEXY
2013-07690;Restaurant de l'Hôtel Ibis;Tourisme et Handicap;Hôtel;M. Laurent Kuntz;h2051@accor.com;http://www.ibishotel.com;382231419;382256106;"mental ; moteur ; visuel";54135;Rue du Château d'Eau;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;MEXY
2013-07691;Jardin Dominique Alexandre Godron;Tourisme et Handicap;Sport de nature;M. André Rossinot;pdidierjean@mairie-nancy.fr;http://www.mairie-nancy.fr;383365904;383354046;"auditif ; mental ; moteur";54000;36 rue Sainte Catherine;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07692;Jardin Paul Verlaine;Tourisme et Handicap;Sport de nature;M. Pierre Didierjean;pdidierjean@mairie-nancy.fr;http://www.mairie-nancy.fr;383365904;383354046;"auditif ; mental ; moteur ; visuel";54000;Avenue Boufflers;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07693;Musée des Beaux Arts de Nancy;Tourisme et Handicap;Lieu de visite;Mme Coignard; mbanancy@mairie-nancy.fr;http://www.mairie-nancy.fr;383853072;383853076;"auditif ; mental ; moteur ; visuel";54000;3 place Stanislas;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07694;Office de Tourisme de Nancy;Tourisme et Handicap;Office de tourisme;M. Gérard Rongeot;tourisme@nancy-tourisme.fr;http://www.nancy-tourisme.fr;383352241;383359010;"auditif ; mental ; moteur ; visuel";54011;Place Stanislas BP 810;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07695;Parc de la Pépinière;Tourisme et Handicap;Sport de nature;M. Pierre Didierjean;pdidierjean@mairie-nancy.fr;http://www.mairie-nancy.fr;383365904;383354046;"auditif ; mental ; moteur ; visuel";54000;Place Stanislas;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07696;Parc Sainte Marie Nancy;Tourisme et Handicap;Sport de nature;M. André Rossinot;pdidierjean@mairie-nancy.fr;http://www.mairie-nancy.fr;383365904;383354046;"auditif ; mental ; moteur ; visuel";54000;39 avenue Boffrand;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;NANCY
2013-07697;Salle de restaurant du château de Puxe;Tourisme et Handicap;Hôtel;M. Jean Paul Braun;lechateaudepuxe@gmail.com;http://www.chateau-puxe.com;382227621;382227621;"auditif ; mental ; moteur ; visuel";54800;18 rue du Château;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;PUXE
2013-07698;Maison de la Mirabelle;Tourisme et Handicap;Lieu de visite;M. Hubert Grallet;sabinegralletdupic@hotmail.fr;http://www.maisondelamirabelle.com;383723226;383723226;"mental ; moteur ; visuel";54290;16 rue du Capitaine Durand;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;ROZELIEURES
2013-07699;Restaurant Le Relais de la Colline;Tourisme et Handicap;Restaurant;M. Mangin;lerelaisdelacolline@cg54.fr;http://www.sion.cg54.fr;383523998;383251351;"auditif ; mental ; moteur ; visuel";54330;1 rue Notre Dame;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;SAXON SION
2013-07700;Site de Sion Vaudemont;Tourisme et Handicap;Hôtel;M. Michel Dinet;pimangin@cg54.fr;http://www.sion.cg54.fr;383523998;383251351;"auditif ; mental ; moteur ; visuel";54330;1 rue Notre Dame;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;SAXON SION
2013-07701;Chambre d'hôtes La Fraiseraie;Tourisme et Handicap;Chambre d'hôtes;M. Meder;chambresdhoteslafaiseraie@gmail.com;http://www.gites54.fr;382255284;;"auditif ; mental ; moteur ; visuel";54260;6 chemin de la Goulette;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;TELLANCOURT
2013-07702;Gîte rural Ferme St Julien;Tourisme et Handicap;Meublé de tourisme;M.Dominique Josset;gitesaintjulien@akeonet.com;http://www.gitesaintjulien.fr;383266308;383266308;"auditif ; mental ; moteur ; visuel";54290;Ferme St Julien;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;VELLE SUR MOSELLE
2013-07703;Espace Muséal Chaubet;Tourisme et Handicap;Lieu de visite;M. de Gouvion St Cyr;tourisme@cc-lunevillois.fr;Http://www.lunevillois-tourisme.fr;383421959;;"auditif ; mental ; moteur ; visuel";54300;;Alsace Champagne-Ardenne Lorraine;MEURTHE-ET-MOSELLE;VITRIMONT
2013-07704;Gite Le Moulin des Champs;Tourisme et Handicap;Meublé de tourisme;Mme Dehrens;lecerf.fabrice@wanadoo.fr;http://www.lemoulinauxchamps;329888101;;"auditif ; mental ; moteur";55160;8 bis rue du Moulin;Alsace Champagne-Ardenne Lorraine;MEUSE;BONZÉE
2013-07705;Meublé de tourisme Chez Lucien;Tourisme et Handicap;Meublé de tourisme;M. Gosio;dominiquegosio@live.fr;http://www.chezllucien.com;680201837;;"auditif ; mental ; moteur";55300;2 bis chemin de Buxerulles;Alsace Champagne-Ardenne Lorraine;MEUSE;BUXIÈRES SOUS LES COTES
